h1n1_concern,h1n1_knowledge,behavioral_antiviral_meds,behavioral_avoidance,behavioral_face_mask,behavioral_wash_hands,behavioral_large_gatherings,behavioral_outside_home,behavioral_touch_face,doctor_recc_seasonal,chronic_med_condition,child_under_6_months,health_worker,health_insurance,opinion_h1n1_sick_from_vacc,opinion_seas_vacc_effective,opinion_seas_sick_from_vacc,age_group,education,race,sex,income_poverty,marital_status,rent_or_own,employment_status,census_msa,household_adults,household_children,employment_industry,employment_occupation
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,3,1,3,0,2,2,1,2,2,0.0,0.0,0,0
3.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,4.0,1,0,3,1,2,2,2,0,0,0.0,0.0,13,20
1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,2.0,0,2,3,1,0,2,1,0,0,2.0,0.0,15,22
1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,5.0,5.0,1.0,4,0,3,0,2,2,2,2,1,0.0,0.0,0,0
2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,2,4,3,0,0,0,1,0,0,1.0,0.0,19,6
3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,5.0,4.0,4,0,3,1,0,0,1,0,1,2.0,3.0,16,19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,3,1,3,1,0,2,1,0,0,0.0,0.0,20,22
1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,1.0,2,4,3,0,0,0,1,0,2,2.0,0.0,13,21
0.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,2,2,3,1,1,0,1,0,0,1.0,0.0,20,2
2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,4.0,2.0,3,0,3,1,0,2,1,2,0,0.0,0.0,0,0
2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,5.0,4.0,2,0,3,1,0,0,2,0,0,2.0,0.0,20,14
1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,1.0,3,2,3,1,1,0,1,0,2,1.0,2.0,20,2
1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,5.0,1.0,4,2,3,1,0,0,1,2,0,1.0,0.0,0,0
1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,4.0,4.0,4.0,1,4,3,1,1,0,1,0,0,1.0,2.0,7,10
3.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,2.0,3,0,3,1,0,0,1,2,0,1.0,0.0,0,0
1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1,2,3,0,1,0,1,0,0,1.0,3.0,19,6
2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,4.0,1.0,4,0,3,0,0,0,0,2,1,0.0,0.0,0,0
1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,1,4,3,0,0,2,1,0,0,1.0,0.0,15,22
1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,5.0,2.0,4,2,3,1,1,0,1,0,2,2.0,0.0,18,20
2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,1.0,3,4,0,0,0,0,1,2,0,1.0,0.0,0,0
3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,4.0,2.0,3,2,0,0,0,2,2,2,1,0.0,0.0,0,0
2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,3,4,3,0,1,2,1,0,0,1.0,0.0,7,11
1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,4.0,2.0,2,2,3,0,1,0,1,0,0,2.0,1.0,19,6
3.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0,1,0,0,2,2,2,2,2,1.0,2.0,0,0
0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,0,3,0,1,3,2,1,3,2,2.0,0.0,0,0
1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2,4,3,0,0,0,2,0,0,1.0,1.0,19,6
3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,4.0,5.0,4.0,2,2,3,0,3,0,0,0,1,1.0,2.0,7,8
3.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,4,4,3,0,0,0,1,2,2,1.0,0.0,0,0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,3,0,3,1,0,0,1,2,2,1.0,0.0,0,0
2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,5.0,4.0,4.0,4,3,3,0,0,2,1,2,0,0.0,0.0,0,0
3.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,4.0,1.0,1,2,3,0,0,2,1,0,1,0.0,2.0,11,22
2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0,4,2,0,3,2,1,2,0,3.0,0.0,0,0
2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,2.0,1,4,0,1,0,0,1,3,1,1.0,2.0,0,0
2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,5.0,4.0,4,0,3,0,0,2,1,2,0,0.0,0.0,0,0
1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,4.0,1.0,0,2,3,1,1,0,1,0,0,1.0,2.0,19,1
2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,5.0,5.0,5.0,3,1,1,0,0,2,2,2,1,0.0,0.0,0,0
2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,4.0,1.0,2,4,3,0,1,0,1,0,2,2.0,0.0,13,20
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,2,4,3,0,0,2,1,0,1,0.0,0.0,7,17
1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,3.0,2.0,4,2,3,1,3,0,1,2,0,1.0,0.0,0,0
2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,5.0,2.0,4,1,3,0,3,2,1,0,0,0.0,0.0,13,20
0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,1.0,2,4,3,1,0,2,2,0,0,0.0,0.0,20,14
2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,4.0,4.0,2.0,3,4,3,0,1,0,1,0,0,1.0,0.0,5,3
